Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
1736145776000,99724.00000000,99724.00000000,99720.02000000,99720.02000000,0.05224000,1736145776999,5209.57730240,3,0.00000000,0.00000000,0
1736145777000,99720.02000000,99720.02000000,99720.02000000,99720.02000000,0.00000000,1736145777999,0.00000000,0,0.00000000,0.00000000,0
1736145778000,99720.02000000,99720.02000000,99720.02000000,99720.02000000,0.00000000,1736145778999,0.00000000,0,0.00000000,0.00000000,0
1736145779000,99720.02000000,99720.02000000,99720.02000000,99720.02000000,0.00000000,1736145779999,0.00000000,0,0.00000000,0.00000000,0
1736145780000,99716.03000000,99716.03000000,99715.02000000,99715.02000000,0.24252000,1736145780999,24182.99486180,5,0.00000000,0.00000000,0
1736145781000,99709.90000000,99709.90000000,99709.90000000,99709.90000000,0.12521000,1736145781999,12484.67657900,2,0.12521000,12484.67657900,0
1736145782000,99720.00000000,99720.00000000,99719.99000000,99719.99000000,0.00104000,1736145782999,103.70879130,2,0.00017000,16.95240000,0
1736145783000,99719.99000000,99719.99000000,99716.25000000,99716.25000000,0.00608000,1736145783999,606.29724000,2,0.00008000,7.97730000,0
1736145784000,99716.24000000,99716.24000000,99716.24000000,99716.24000000,0.00600000,1736145784999,598.29744000,1,0.00000000,0.00000000,0
1736145785000,99710.28000000,99710.28000000,99704.01000000,99704.01000000,0.15680000,1736145785999,15633.97762940,10,0.00000000,0.00000000,0
1736145786000,99698.03000000,99698.03000000,99698.03000000,99698.03000000,0.10588000,1736145786999,10556.02741640,4,0.00000000,0.00000000,0
1736145787000,99692.00000000,99692.01000000,99692.00000000,99692.01000000,0.16667000,1736145787999,16615.66609030,5,0.04503000,4489.13121030,0
1736145788000,99692.01000000,99692.01000000,99692.01000000,99692.01000000,0.00000000,1736145788999,0.00000000,0,0.00000000,0.00000000,0
1736145789000,99692.01000000,99692.01000000,99692.01000000,99692.01000000,0.00000000,1736145789999,0.00000000,0,0.00000000,0.00000000,0
1736145790000,99692.01000000,99697.09000000,99692.01000000,99697.09000000,0.26578000,1736145790999,26496.96841370,4,0.26578000,26496.96841370,0
1736145791000,99697.09000000,99697.09000000,99697.09000000,99697.09000000,0.00000000,1736145791999,0.00000000,0,0.00000000,0.00000000,0
1736145792000,99697.09000000,99697.09000000,99697.09000000,99697.09000000,0.00000000,1736145792999,0.00000000,0,0.00000000,0.00000000,0
1736145793000,99697.09000000,99697.09000000,99697.09000000,99697.09000000,0.00000000,1736145793999,0.00000000,0,0.00000000,0.00000000,0
1736145794000,99697.09000000,99697.09000000,99697.09000000,99697.09000000,0.00000000,1736145794999,0.00000000,0,0.00000000,0.00000000,0
1736145795000,99704.00000000,99704.00000000,99704.00000000,99704.00000000,0.04071000,1736145795999,4058.94984000,1,0.00000000,0.00000000,0
1736145796000,99697.09000000,99697.09000000,99697.09000000,99697.09000000,0.00192000,1736145796999,191.41841280,1,0.00000000,0.00000000,0
1736145797000,99697.09000000,99697.09000000,99697.09000000,99697.09000000,0.00000000,1736145797999,0.00000000,0,0.00000000,0.00000000,0
1736145798000,99689.01000000,99689.01000000,99682.18000000,99682.18000000,0.04025000,1736145798999,4012.31436130,2,0.00000000,0.00000000,0
1736145799000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145799999,0.00000000,0,0.00000000,0.00000000,0
1736145800000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145800999,0.00000000,0,0.00000000,0.00000000,0
1736145801000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145801999,0.00000000,0,0.00000000,0.00000000,0
1736145802000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145802999,0.00000000,0,0.00000000,0.00000000,0
1736145803000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145803999,0.00000000,0,0.00000000,0.00000000,0
1736145804000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145804999,0.00000000,0,0.00000000,0.00000000,0
1736145805000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145805999,0.00000000,0,0.00000000,0.00000000,0
1736145806000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145806999,0.00000000,0,0.00000000,0.00000000,0
1736145807000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145807999,0.00000000,0,0.00000000,0.00000000,0
1736145808000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145808999,0.00000000,0,0.00000000,0.00000000,0
1736145809000,99682.18000000,99682.18000000,99682.18000000,99682.18000000,0.00000000,1736145809999,0.00000000,0,0.00000000,0.00000000,0
1736145810000,99676.00000000,99678.78000000,99676.00000000,99678.78000000,0.19366000,1736145810999,19303.63134760,4,0.19366000,19303.63134760,0
1736145811000,99678.78000000,99678.78000000,99678.78000000,99678.78000000,0.00000000,1736145811999,0.00000000,0,0.00000000,0.00000000,0
1736145812000,99678.78000000,99678.78000000,99678.78000000,99678.78000000,0.00000000,1736145812999,0.00000000,0,0.00000000,0.00000000,0
1736145813000,99688.39000000,99688.39000000,99684.04000000,99684.04000000,0.02215000,1736145813999,2208.08828270,3,0.00617000,615.06797030,0
1736145814000,99684.04000000,99684.04000000,99684.04000000,99684.04000000,0.00000000,1736145814999,0.00000000,0,0.00000000,0.00000000,0
1736145815000,99684.04000000,99684.04000000,99684.04000000,99684.04000000,0.00000000,1736145815999,0.00000000,0,0.00000000,0.00000000,0
1736145816000,99680.04000000,99680.04000000,99680.04000000,99680.04000000,0.18465000,1736145816999,18405.91938600,5,0.18465000,18405.91938600,0
1736145817000,99680.04000000,99680.04000000,99680.04000000,99680.04000000,0.00000000,1736145817999,0.00000000,0,0.00000000,0.00000000,0
1736145818000,99673.96000000,99673.96000000,99673.96000000,99673.96000000,0.00101000,1736145818999,100.67069960,1,0.00000000,0.00000000,0
1736145819000,99673.96000000,99673.96000000,99673.96000000,99673.96000000,0.00000000,1736145819999,0.00000000,0,0.00000000,0.00000000,0
1736145820000,99673.96000000,99673.96000000,99673.96000000,99673.96000000,0.00000000,1736145820999,0.00000000,0,0.00000000,0.00000000,0
1736145821000,99673.96000000,99673.96000000,99673.96000000,99673.96000000,0.00000000,1736145821999,0.00000000,0,0.00000000,0.00000000,0
1736145822000,99673.96000000,99673.96000000,99673.96000000,99673.96000000,0.00000000,1736145822999,0.00000000,0,0.00000000,0.00000000,0
1736145823000,99673.96000000,99673.96000000,99673.96000000,99673.96000000,0.00000000,1736145823999,0.00000000,0,0.00000000,0.00000000,0
1736145824000,99673.96000000,99673.96000000,99673.96000000,99673.96000000,0.00000000,1736145824999,0.00000000,0,0.00000000,0.00000000,0
1736145825000,99678.24000000,99678.24000000,99678.24000000,99678.24000000,0.00015000,1736145825999,14.95173600,1,0.00015000,14.95173600,0
1736145826000,99678.24000000,99678.24000000,99678.24000000,99678.24000000,0.00000000,1736145826999,0.00000000,0,0.00000000,0.00000000,0
1736145827000,99678.24000000,99678.24000000,99678.24000000,99678.24000000,0.00000000,1736145827999,0.00000000,0,0.00000000,0.00000000,0
1736145828000,99678.24000000,99678.24000000,99678.24000000,99678.24000000,0.00000000,1736145828999,0.00000000,0,0.00000000,0.00000000,0
1736145829000,99678.24000000,99678.24000000,99678.24000000,99678.24000000,0.00070000,1736145829999,69.77476800,1,0.00070000,69.77476800,0
1736145830000,99678.24000000,99678.24000000,99678.24000000,99678.24000000,0.00000000,1736145830999,0.00000000,0,0.00000000,0.00000000,0
1736145831000,99678.24000000,99678.24000000,99678.24000000,99678.24000000,0.00000000,1736145831999,0.00000000,0,0.00000000,0.00000000,0
1736145832000,99678.24000000,99678.24000000,99678.24000000,99678.24000000,0.00000000,1736145832999,0.00000000,0,0.00000000,0.00000000,0
1736145833000,99678.24000000,99678.24000000,99678.24000000,99678.24000000,0.00000000,1736145833999,0.00000000,0,0.00000000,0.00000000,0
1736145834000,99682.77000000,99682.77000000,99682.77000000,99682.77000000,0.00060000,1736145834999,59.80966200,1,0.00060000,59.80966200,0
1736145835000,99682.77000000,99682.77000000,99682.77000000,99682.77000000,0.00031000,1736145835999,30.90165870,1,0.00031000,30.90165870,0
1736145836000,99682.77000000,99682.77000000,99682.76000000,99682.77000000,0.00121000,1736145836999,120.61614280,3,0.00032000,31.89848640,0
1736145837000,99682.77000000,99682.77000000,99682.77000000,99682.77000000,0.00000000,1736145837999,0.00000000,0,0.00000000,0.00000000,0
1736145838000,99682.77000000,99682.77000000,99682.77000000,99682.77000000,0.00012000,1736145838999,11.96193240,1,0.00012000,11.96193240,0
1736145839000,99682.76000000,99682.76000000,99682.76000000,99682.76000000,0.01004000,1736145839999,1000.81491040,1,0.00000000,0.00000000,0
1736145840000,99682.76000000,99682.76000000,99682.76000000,99682.76000000,0.00000000,1736145840999,0.00000000,0,0.00000000,0.00000000,0
1736145841000,99682.77000000,99682.77000000,99682.77000000,99682.77000000,0.00057000,1736145841999,56.81917890,1,0.00057000,56.81917890,0
