Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
1736145776000,99752.73000000,99752.73000000,99748.06000000,99748.06000000,1.51288000,1736145776999,150913.82338020,126,0.00000000,0.00000000,0
1736145777000,99748.07000000,99748.07000000,99748.07000000,99748.07000000,2.82082000,1736145777999,281371.35081740,11,2.82082000,281371.35081740,0
1736145778000,99748.06000000,99748.06000000,99748.06000000,99748.06000000,0.00566000,1736145778999,564.57401960,3,0.00000000,0.00000000,0
1736145779000,99748.06000000,99748.06000000,99748.06000000,99748.06000000,0.00030000,1736145779999,29.92441800,1,0.00000000,0.00000000,0
1736145780000,99748.06000000,99748.06000000,99737.93000000,99737.94000000,0.85097000,1736145780999,84881.74946820,245,0.02065000,2059.58846100,0
1736145781000,99737.93000000,99741.80000000,99737.93000000,99741.80000000,0.02709000,1736145781999,2701.93730200,41,0.01591000,1586.86724460,0
1736145782000,99741.79000000,99741.80000000,99741.79000000,99741.80000000,0.01034000,1736145782999,1031.33020820,3,0.00996000,993.42832800,0
1736145783000,99741.79000000,99741.80000000,99741.79000000,99741.80000000,0.00221000,1736145783999,220.42935740,2,0.00015000,14.96127000,0
1736145784000,99741.80000000,99741.80000000,99741.79000000,99741.79000000,0.00103000,1736145784999,102.73405230,2,0.00086000,85.77794800,0
1736145785000,99741.79000000,99741.79000000,99732.81000000,99732.81000000,0.47836000,1736145785999,47712.18700730,146,0.00000000,0.00000000,0
1736145786000,99732.80000000,99732.80000000,99728.32000000,99728.32000000,0.13906000,1736145786999,13868.76940190,114,0.00411000,409.88339520,0
1736145787000,99728.32000000,99728.32000000,99728.32000000,99728.32000000,0.00000000,1736145787999,0.00000000,0,0.00000000,0.00000000,0
1736145788000,99728.32000000,99728.32000000,99728.32000000,99728.32000000,0.00000000,1736145788999,0.00000000,0,0.00000000,0.00000000,0
1736145789000,99728.32000000,99728.32000000,99728.32000000,99728.32000000,0.00019000,1736145789999,18.94838080,1,0.00019000,18.94838080,0
1736145790000,99728.31000000,99728.32000000,99728.31000000,99728.31000000,0.14450000,1736145790999,14410.74210390,5,0.13089000,13053.43980480,0
1736145791000,99728.32000000,99728.94000000,99728.32000000,99728.94000000,0.10580000,1736145791999,10551.25693340,21,0.10580000,10551.25693340,0
1736145792000,99728.95000000,99728.95000000,99728.95000000,99728.95000000,0.01100000,1736145792999,1097.01845000,2,0.01100000,1097.01845000,0
1736145793000,99728.94000000,99728.94000000,99728.94000000,99728.94000000,0.00091000,1736145793999,90.75333540,2,0.00000000,0.00000000,0
1736145794000,99728.94000000,99728.94000000,99728.94000000,99728.94000000,0.00000000,1736145794999,0.00000000,0,0.00000000,0.00000000,0
1736145795000,99728.95000000,99728.95000000,99728.32000000,99728.32000000,0.14106000,1736145795999,14067.75458760,97,0.00006000,5.98373700,0
1736145796000,99728.31000000,99728.31000000,99720.32000000,99720.32000000,0.28414000,1736145796999,28336.37032580,321,0.00000000,0.00000000,0
1736145797000,99720.32000000,99720.32000000,99706.29000000,99706.29000000,0.60137000,1736145797999,59966.33564380,269,0.00017000,16.95130690,0
1736145798000,99706.29000000,99706.29000000,99706.29000000,99706.29000000,0.00802000,1736145798999,799.64444580,1,0.00000000,0.00000000,0
1736145799000,99706.29000000,99706.30000000,99706.29000000,99706.29000000,0.00261000,1736145799999,260.23341930,3,0.00024000,23.92951200,0
1736145800000,99706.29000000,99706.29000000,99700.17000000,99700.17000000,0.31210000,1736145800999,31117.85053400,196,0.00000000,0.00000000,0
1736145801000,99700.16000000,99700.16000000,99700.16000000,99700.16000000,0.00006000,1736145801999,5.98200960,1,0.00000000,0.00000000,0
1736145802000,99700.16000000,99700.17000000,99700.16000000,99700.17000000,0.00097000,1736145802999,96.70916060,2,0.00054000,53.83809180,0
1736145803000,99700.17000000,99700.17000000,99700.17000000,99700.17000000,0.00000000,1736145803999,0.00000000,0,0.00000000,0.00000000,0
1736145804000,99700.16000000,99700.16000000,99700.16000000,99700.16000000,0.00491000,1736145804999,489.52778560,1,0.00000000,0.00000000,0
1736145805000,99700.17000000,99700.17000000,99700.17000000,99700.17000000,0.00373000,1736145805999,371.88163410,3,0.00373000,371.88163410,0
1736145806000,99700.16000000,99700.17000000,99700.16000000,99700.17000000,0.07033000,1736145806999,7011.91295440,6,0.07016000,6994.96392720,0
1736145807000,99700.17000000,99700.17000000,99700.17000000,99700.17000000,0.00000000,1736145807999,0.00000000,0,0.00000000,0.00000000,0
1736145808000,99700.16000000,99700.16000000,99700.16000000,99700.16000000,0.00013000,1736145808999,12.96102080,2,0.00000000,0.00000000,0
1736145809000,99700.16000000,99700.17000000,99700.16000000,99700.17000000,0.07828000,1736145809999,7804.52930500,2,0.07802000,7778.60726340,0
1736145810000,99700.16000000,99710.35000000,99700.16000000,99710.35000000,0.45048000,1736145810999,44915.26379010,141,0.38357000,38244.30328130,0
1736145811000,99710.34000000,99710.34000000,99710.34000000,99710.34000000,0.00018000,1736145811999,17.94786120,1,0.00000000,0.00000000,0
1736145812000,99710.34000000,99710.34000000,99710.34000000,99710.34000000,0.00137000,1736145812999,136.60316580,2,0.00000000,0.00000000,0
1736145813000,99710.34000000,99710.34000000,99710.34000000,99710.34000000,0.00401000,1736145813999,399.83846340,1,0.00000000,0.00000000,0
1736145814000,99710.34000000,99710.34000000,99710.34000000,99710.34000000,0.00000000,1736145814999,0.00000000,0,0.00000000,0.00000000,0
1736145815000,99710.34000000,99710.35000000,99710.34000000,99710.34000000,0.05942000,1736145815999,5924.78842290,11,0.00201000,200.41780350,0
1736145816000,99710.34000000,99710.34000000,99705.24000000,99705.24000000,0.24364000,1736145816999,24293.10250680,164,0.00000000,0.00000000,0
1736145817000,99705.23000000,99705.24000000,99705.23000000,99705.24000000,0.00215000,1736145817999,214.36624630,2,0.00018000,17.94694320,0
1736145818000,99705.24000000,99705.24000000,99705.23000000,99705.23000000,0.00037000,1736145818999,36.89093690,2,0.00018000,17.94694320,0
1736145819000,99705.24000000,99705.24000000,99705.24000000,99705.24000000,0.03032000,1736145819999,3023.06287680,1,0.03032000,3023.06287680,0
1736145820000,99705.23000000,99705.24000000,99705.23000000,99705.23000000,0.01770000,1736145820999,1764.78272400,6,0.01530000,1525.49017200,0
1736145821000,99705.24000000,99705.24000000,99705.23000000,99705.23000000,1.00090000,1736145821999,99794.97471470,9,1.00077000,99782.01303480,0
1736145822000,99705.24000000,99705.24000000,99705.24000000,99705.24000000,0.00175000,1736145822999,174.48417000,2,0.00175000,174.48417000,0
1736145823000,99705.23000000,99705.23000000,99705.23000000,99705.23000000,0.11688000,1736145823999,11653.54728240,4,0.00000000,0.00000000,0
